title,author,image,tags,sinopsis,price,real_price,n_pages,editorial,lang,encuadernacion,ISBN,year,date
EL VALLE DE LOS LOBOS (CRONICAS DE LA TORRE I),LAURA GALLEGO,https://imagessl7.casadellibro.com/a/l/t5/77/9788467539677.jpg,"Juvenil,Más de 13 años,Fantasía y magia",,8.99,8.54,271,EDICIONES SM,CASTELLANO,Tapa blanda,9788467539677,2010,17/02/2010
ANSIA (SERIE CRAVE 3),TRACY WOLFF,https://imagessl1.casadellibro.com/a/l/t5/81/9788408246381.jpg,"Juvenil,Más de 15 años,Fantasía y magia","«Siento que estoy a punto de llegar al límite. Si intentar graduarme en una escuela para seres sobrenaturales ya era suficientemente estresante, ahora resulta que el estado de mi relación ha pasado de ser complicado a ser un imposible…Y por si no fuera suficiente Bloodletter ha decidido lanzarnos una bomba de proporciones épicas a todos...",33.40,31.73,896,PLANETA,CASTELLANO,,9788408246381,2021,01/09/2021
LA CUENTA ATRAS PARA EL VERANO,LA VECINA RUBIA,https://imagessl1.casadellibro.com/a/l/t5/31/9788448028831.jpg,"Novela contemporánea,Narrativa española",LA VIDA SON RECUERDOS Y LOS MÍOS TIENEN NOMBRES DE PERSONA,18.90,17.95,496,TIMUN MAS,CASTELLANO,Tapa blanda,9788448028831,2021,06/10/2021
EL PRINCIPE DE LA NIEBLA,CARLOS RUIZ ZAFON,https://imagessl5.casadellibro.com/a/l/t5/05/9788408072805.jpg,"Juvenil,Más de 13 años,Misterio y terror","El nuevo hogar de los Carver, que se han mudado a la costa huyendo de la ciudad y de la guerra, está rodeado de misterio.",13.90,13.20,240,PLANETA,CASTELLANO,Tapa blanda,9788408072805,2007,16/05/2007
EL FARO DE LOS AMORES DORMIDOS,ANDREA LONGARELA,https://imagessl0.casadellibro.com/a/l/t5/30/9788408254430.jpg,"Romántica y erótica,Narrativa romántica",Varela de Mar es un pueblo pequeño y tranquilo. Doscientos treinta y tres habitantes. Una playa que desaparece cuando sube la marea. Un faro abandonado.,17.95,17.05,496,PLANETA,CASTELLANO,Tapa blanda,9788408254430,2022,06/07/2022
PSICOLOGÍA PUNK,VICTOR AMAT,https://imagessl5.casadellibro.com/a/l/t5/05/9788419248305.jpg,"Autoayuda y Espiritualidad,Autoayuda","Parece que estamos en la epoca de la necesidad de que todos seamos  felices. La terapia, la meditación, el yoga, la espiritualidad...  cualquier camino parece bueno. La cuestión es que, si funcionaran bien,  probablemente la gente en general sería más feliz y no necesitaría  consumir todas esas cosas. Pero no es así. El pensamiento negativo  aparece y permanece, a pesar de nuestros esfuerzos para no pensar en el. Es ahí donde podemos cambiar.",8.99,8.54,296,VERGARA ,CASTELLANO,Tapa blanda,9788419248305,2022,27/10/2022
LA ESPAÑA IMPERIAL (5ª ED.),J. H. ELLIOTT,https://imagessl5.casadellibro.com/a/l/t5/15/9788431612115.jpg,"Historia,Historia de España,Historia moderna de España",,12.99,12.34,472,VICENS-VIVES,CASTELLANO,Tapa blanda,9788431612115,2012,12/01/2012
GENIOX PRO BIOLOGIA Y GEOLOGIA CCAA 1º BACHILLERATO LA,,https://imagessl9.casadellibro.com/a/l/t5/89/9780190545789.jpg,"Libros de Texto y Formación,Bachillerato",,10.37,9.85,,OXFORD UNIVERSITY PRESS,CASTELLANO,Tapa blanda,9780190545789,2022,31/03/2022
FINIS MUNDI,LAURA GALLEGO,https://imagessl7.casadellibro.com/a/l/t5/07/9788467577907.jpg,"Infantil,Infantil 10 a 12 años,Literatura 10 a 12 años",,8.99,8.54,288,EDICIONES SM,CASTELLANO,Tapa blanda,9788467577907,2015,01/04/2015
EL TRIANGLE ROSA,SILVESTRE VILAPLANA,https://imagessl8.casadellibro.com/a/l/t5/88/9788490267288.jpg,"Juvenil,Más de 13 años,Temas sociales",,20.00,19.00,152,BROMERA,CATALÁN,Tapa blanda,9788490267288,2017,01/03/2017
